corp_code,stock_code,corp_name
00452674,00000 ,바롬테크
00449421,00000 ,대방종합건설
00209230,00000 ,영도섬유
00412311,00000 ,미디어파트너스
00233741,00000 ,한이해운
00299400,00000 ,금영
00112518,00000 ,대준섬유
00416760,00000 ,두일
00397438,00000 ,벽송종합건설
00198615,00000 ,평해건설
00363228,00000 ,대동제지공업
00415257,00000 ,동서디엔씨
00369365,00000 ,케미스
00405126,00000 ,텔리맨
00415266,00000 ,과일나라
00361354,00000 ,넷츠고
00415275,00000 ,동승건설
00367446,00000 ,주영크리에이션
00415673,00000 ,태광엔터프라이즈
00171751,00000 ,한주종합건설
00416797,00000 ,유정건설
00193407,00000 ,세광종합건설
00365943,00000 ,금양레포츠
00363060,00000 ,게임벤처
00418892,00000 ,마이애셋사모M&A펀드B호
00418917,00000 ,하나로밀레니엄
00417370,00000 ,메트로에이전시
00427508,00000 ,국민카드제십차유동화전문유한회사
00367987,00000 ,시봉전자
00428020,00000 ,두산스피리츠
00382296,00000 ,게토코리아
00297332,00000 ,"AmkorTechnology,Inc."
00378929,00000 ,에이피엠쇼핑몰
00384735,00000 ,코텍
00303572,00000 ,아이거넷
